Instrument,IBSymbol,IBExchange,IBCurrency,IBMultiplier,MyMultiplier,IgnoreWeekly
AEX,EOE,FTA,EUR,200,1,FALSE
AUD,AUD,GLOBEX,NA,NA,1,FALSE
BITCOIN,MBT,CMECRYPTO,USD,0.1,1,FALSE
OLD_BITCOIN,BRR,CMECRYPTO,USD,0.1,1,FALSE
BOBL,GBM,DTB,NA,NA,1,FALSE
BTP,BTP,DTB,NA,NA,1,FALSE
BUND,GBL,DTB,NA,NA,1,FALSE
CAC,CAC40,MONEP,EUR,10,1,FALSE
COPPER,HG,NYMEX,NA,NA,1,FALSE
CORN,ZC,ECBOT,NA,NA,1,FALSE
CRUDE_W,CL,NYMEX,NA,NA,1,FALSE
EDOLLAR,GE,GLOBEX,NA,NA,1,FALSE
EUR,EUR,GLOBEX,NA,NA,1,FALSE
EUROSTX,ESTX50,DTB,NA,10,1,FALSE
GAS_US,NG,NYMEX,NA,NA,1,FALSE
GBP,GBP,GLOBEX,NA,NA,1,FALSE
GOLD,GC,NYMEX,NA,NA,1,FALSE
JPY,JPY,GLOBEX,NA,NA,1,FALSE
KOSPI,K200,KSE,NA,NA,1,FALSE
KR10,FLKTB,KSE,NA,NA,1,FALSE
KR3,3KTB,KSE,NA,NA,1,FALSE
LEANHOG,HE,GLOBEX,NA,NA,1,FALSE
LIVECOW,LE,GLOBEX,NA,NA,1,FALSE
MXP,MXP,GLOBEX,NA,NA,1,FALSE
NASDAQ,NQ,GLOBEX,NA,NA,1,FALSE
NZD,NZD,GLOBEX,NA,NA,1,FALSE
OAT,OAT,DTB,NA,NA,1,FALSE
PALLAD,PA,NYMEX,NA,NA,1,FALSE
PLAT,PL,NYMEX,NA,NA,1,FALSE
SHATZ,GBS,DTB,NA,NA,1,FALSE
SMI,SMI,SOFFEX,NA,10,1,FALSE
SOYBEAN,ZS,ECBOT,NA,NA,1,FALSE
SP500,ES,GLOBEX,NA,NA,1,FALSE
US10,ZN,ECBOT,NA,NA,1,FALSE
US2,ZT,ECBOT,NA,NA,1,FALSE
US20,ZB,ECBOT,USD,1000,1,FALSE
US5,ZF,ECBOT,NA,NA,1,FALSE
USIRS5,F1U,ECBOT,USD,1000,1,FALSE
USIRS10,N1U,ECBOT,USD,1000,1,FALSE
US-REALESTATE,DJUSRE,ECBOT,USD,100,1,FALSE
V2X,V2TX,DTB,NA,NA,1,FALSE
VIX,VIX,CFE,USD,1000,1,TRUE
WHEAT,ZW,ECBOT,NA,NA,1,FALSE
EU-BASIC,SXPP,DTB,EUR,50,1,FALSE
EU-DIV30,DJSD,DTB,EUR,10,1,FALSE
EU-AUTO,SXAP,DTB,EUR,50,1,FALSE
EU-FOOD,SX3P,DTB,EUR,50,1,FALSE
EU-HEALTH,SXDP,DTB,EUR,50,1,FALSE
EU-OIL,SXEP,DTB,EUR,50,1,FALSE
EU-RETAIL,SXRP,DTB,EUR,50,1,FALSE
EU-TECH,SX8P,DTB,EUR,50,1,FALSE
EU-TRAVEL,SXTP,DTB,EUR,50,1,FALSE
EU-UTILS,SX6P,DTB,EUR,50,1,FALSE
US-DISCRETE,IXY,GLOBEX,USD,100,1,FALSE
US-STAPLES,IXR,GLOBEX,USD,100,1,FALSE
US-ENERGY,IXE,GLOBEX,USD,100,1,FALSE
US-FINANCE,IXM,GLOBEX,USD,250,1,FALSE
US-HEALTH,IXV,GLOBEX,USD,100,1,FALSE
US-INDUSTRY,IXI,GLOBEX,USD,100,1,FALSE
US-MATERIAL,IXB,GLOBEX,USD,100,1,FALSE
US-PROPERTY,IXRE,GLOBEX,USD,250,1,FALSE
US-TECH,IXT,GLOBEX,USD,100,1,FALSE
US-UTILS,IXU,GLOBEX,USD,100,1,FALSE
FEEDCOW,GF,GLOBEX,USD,50000,1,FALSE
BBCOMM,AIGCI,ECBOT,USD,100,1,FALSE
SOYMEAL,ZM,ECBOT,USD,100,1,FALSE
REDWHEAT,KE,ECBOT,USD,5000,1,FALSE
OATIES,ZO,ECBOT,USD,5000,1,FALSE
RICE,ZR,ECBOT,USD,2000,1,FALSE
MILK,DA,GLOBEX,USD,2000,1,FALSE
SOYOIL,ZL,ECBOT,USD,60000,1,FALSE
GASOILINE,RB,NYMEX,USD,42000,1,FALSE
HEATOIL,HO,NYMEX,USD,42000,1,FALSE
ALUMINIUM,ALI,NYMEX,USD,25,1,FALSE
SILVER,SI,NYMEX,USD,1000,1,FALSE
CAD,CAD,GLOBEX,USD,100000,1,FALSE
CHF,CHF,GLOBEX,USD,125000,1,FALSE
SEK,SEK,GLOBEX,USD,2000000,1,FALSE
NOK,NOK,GLOBEX,USD,2000000,1,FALSE
BRE,BRE,GLOBEX,USD,100000,1,FALSE
RUR,RUR,GLOBEX,USD,2500000,1,FALSE
BONO,FBON,DTB,EUR,1000,1,FALSE
MSCIASIA,M1MS,DTB,USD,100,1,FALSE
EURO600,DJ600,DTB,EUR,50,1,FALSE
DAX,DAX,DTB,EUR,1,1,FALSE
DOW,MYM,ECBOT,USD,0.5,1,FALSE
RUSSELL,M2K,GLOBEX,USD,5,1,FALSE
SP400,EMD,GLOBEX,USD,100,1,FALSE
GBPEUR,RP,GLOBEX,GBP,125000,1,FALSE
YENEUR,RY,GLOBEX,JPY,125000,1,FALSE
BUXL,GBX,DTB,EUR,1000,1,FALSE
BTP3,BTS,DTB,EUR,1000,1,FALSE
US3,Z3N,ECBOT,USD,2000,1,FALSE
US10U,TN,ECBOT,USD,1000,1,FALSE
US30,UB,ECBOT,USD,1000,1,FALSE
KOSDAQ,KOSDQ150,KSE,KRW,10000,1,FALSE
BRENT-LAST,BZ,NYMEX,USD,1000,1,FALSE
GAS-LAST,HH,NYMEX,USD,10000,1,FALSE
NIKKEI400,JPNK400,OSE.JPN,JPY,100,1,FALSE
CNH,UC,SGX,CNH,100000,1,FALSE
DJSTX-SMALL,DJ200S,DTB,EUR,50,1,FALSE
EU-BANKS,SX7E,DTB,EUR,50,1,FALSE
EU-CHEM,SX4P,DTB,EUR,50,1,FALSE
EU-INSURE,SXIP,DTB,EUR,50,1,FALSE
FTSECHINAA,XINA50,SGX,USD,1,1,FALSE
FTSECHINAH,XIN0I,SGX,USD,2,1,FALSE
FTSETAIWAN,TWN,SGX,USD,40,1,FALSE
INR-SGX,IU,SGX,USD,2000000,1,FALSE
IRON,SCI,SGX,USD,100,1,FALSE
JGB,JGB,OSE.JPN,JPY,1000000,1,FALSE
KRWUSD_mini,KU,SGX,USD,25000000,1,FALSE
MSCISING,SSG,SGX,SGD,100,1,FALSE
MUMMY,TSEMOTHR,OSE.JPN,JPY,1000,1,FALSE
NIFTY,NIFTY,SGX,USD,2,1,FALSE
NIKKEI,N225M,OSE.JPN,JPY,100,1,FALSE
R1000,RSV,GLOBEX,USD,50,1,FALSE
SGD,SND,SGX,SGD,100000,1,FALSE
SOFR,SOFR3,GLOBEX,USD,2500,1,FALSE
TOPIX,MNTPX,OSE.JPN,JPY,1000,1,FALSE
CRUDE_W_mini,QM,NYMEX,USD,500,1,FALSE
GAS_US_mini,QG,NYMEX,USD,2500,1,FALSE
GOLD_micro,MGC,NYMEX,USD,10,1,FALSE
KOSPI_mini,K200M,KSE,KRW,50000,1,FALSE
NASDAQ_micro,MNQ,GLOBEX,USD,2,1,FALSE
