DATETIME,CARRY,CARRY_CONTRACT,PRICE,PRICE_CONTRACT,FORWARD,FORWARD_CONTRACT
2023-06-14 23:00:00,666.7,20250600,642.05,20240600,666.7,20250600
2023-06-15 23:00:00,674.45,20250600,649.05,20240600,674.45,20250600
2023-06-16 23:00:00,672.65,20250600,646.4,20240600,672.65,20250600
2023-06-19 23:00:00,672.65,20250600,646.4,20240600,672.65,20250600
2023-06-20 23:00:00,657.25,20250600,632.15,20240600,657.25,20250600
2023-06-21 23:00:00,653.55,20250600,628.3,20240600,653.55,20250600
2023-06-22 23:00:00,652.55,20250600,627.1,20240600,652.55,20250600
2023-06-23 23:00:00,642.55,20250600,617.3,20240600,642.55,20250600
2023-06-26 23:00:00,644.25,20250600,619.35,20240600,644.25,20250600
2023-06-27 23:00:00,653.0,20250600,627.15,20240600,653.0,20250600
2023-06-28 23:00:00,649.05,20250600,623.65,20240600,649.05,20250600
2023-06-29 23:00:00,644.85,20250600,618.65,20240600,644.85,20250600
2023-06-30 23:00:00,650.2,20250600,623.5,20240600,650.2,20250600
2023-07-03 23:00:00,659.1,20250600,631.6,20240600,659.1,20250600
2023-07-04 23:00:00,659.1,20250600,631.6,20240600,659.1,20250600
2023-07-05 23:00:00,654.3,20250600,626.85,20240600,654.3,20250600
2023-07-06 23:00:00,642.75,20250600,614.4,20240600,642.75,20250600
2023-07-07 23:00:00,647.35,20250600,620.4,20240600,647.35,20250600
2023-07-10 23:00:00,648.0,20250600,621.2,20240600,648.0,20250600
2023-07-11 23:00:00,655.15,20250600,628.05,20240600,655.15,20250600
2023-07-12 23:00:00,667.55,20250600,641.45,20240600,667.55,20250600
2023-07-13 23:00:00,675.15,20250600,649.5,20240600,675.15,20250600
2023-07-14 23:00:00,672.65,20250600,646.35,20240600,672.65,20250600
2023-07-17 23:00:00,673.15,20250600,646.5,20240600,673.15,20250600
2023-07-18 23:00:00,666.35,20250600,640.4,20240600,666.35,20250600
2023-07-19 23:00:00,665.4,20250600,639.15,20240600,665.4,20250600
2023-07-20 23:00:00,661.15,20250600,633.8,20240600,661.15,20250600
2023-07-21 23:00:00,658.1,20250600,631.55,20240600,658.1,20250600
2023-07-24 23:00:00,667.2,20250600,640.25,20240600,667.2,20250600
2023-07-25 23:00:00,675.2,20250600,646.85,20240600,675.2,20250600
2023-07-26 23:00:00,677.95,20250600,649.7,20240600,677.95,20250600
2023-07-27 23:00:00,671.3,20250600,642.45,20240600,671.3,20250600
2023-07-28 23:00:00,687.45,20250600,658.8,20240600,687.45,20250600
2023-07-31 23:00:00,688.55,20250600,659.9,20240600,688.55,20250600
2023-08-01 23:00:00,681.15,20250600,652.2,20240600,681.15,20250600
2023-08-02 23:00:00,664.0,20250600,635.65,20240600,664.0,20250600
2023-08-03 23:00:00,667.1,20250600,639.3,20240600,667.1,20250600
2023-08-04 23:00:00,664.8,20250600,637.3,20240600,664.8,20250600
2023-08-07 23:00:00,663.45,20250600,636.45,20240600,663.45,20250600
2023-08-08 23:00:00,654.2,20250600,627.65,20240600,654.2,20250600
2023-08-09 23:00:00,656.95,20250600,630.2,20240600,656.95,20250600
2023-08-10 23:00:00,656.75,20250600,629.9,20240600,656.75,20250600
2023-08-11 23:00:00,646.8,20250600,619.45,20240600,646.8,20250600
2023-08-14 23:00:00,644.05,20250600,616.5,20240600,644.05,20250600
2023-08-15 23:00:00,636.9,20250600,609.55,20240600,636.9,20250600
2023-08-16 23:00:00,630.85,20250600,603.7,20240600,630.85,20250600
2023-08-17 23:00:00,633.1,20250600,605.55,20240600,633.1,20250600
2023-08-18 23:00:00,626.6,20250600,599.65,20240600,626.6,20250600
2023-08-21 23:00:00,628.35,20250600,600.95,20240600,628.35,20250600
2023-08-22 23:00:00,626.75,20250600,599.0,20240600,626.75,20250600
2023-08-23 23:00:00,634.75,20250600,607.6,20240600,634.75,20250600
2023-08-24 23:00:00,634.85,20250600,607.0,20240600,634.85,20250600
2023-08-25 23:00:00,635.0,20250600,606.8,20240600,635.0,20250600
2023-08-28 23:00:00,641.5,20250600,613.2,20240600,641.5,20250600
2023-08-29 23:00:00,650.35,20250600,622.6,20240600,650.35,20250600
2023-08-30 23:00:00,646.15,20250600,618.75,20240600,646.15,20250600
