DATETIME,CARRY,CARRY_CONTRACT,PRICE,PRICE_CONTRACT,FORWARD,FORWARD_CONTRACT
2022-08-09 23:00:00,672.0,20230100,639.5,20221100,672.0,20230100
2022-08-10 23:00:00,726.0,20230100,693.5,20221100,726.0,20230100
2022-08-11 23:00:00,721.5,20230100,689.0,20221100,721.5,20230100
2022-08-12 23:00:00,717.5,20230100,685.0,20221100,717.5,20230100
2022-08-15 23:00:00,712.5,20230100,680.0,20221100,712.5,20230100
2022-08-16 23:00:00,712.5,20230100,680.0,20221100,712.5,20230100
2022-08-17 23:00:00,712.5,20230100,680.0,20221100,712.5,20230100
2022-08-18 23:00:00,692.0,20230100,659.5,20221100,692.0,20230100
2022-08-19 23:00:00,644.5,20230100,612.0,20221100,644.5,20230100
2022-08-22 23:00:00,617.5,20230100,585.0,20221100,617.5,20230100
2022-08-23 23:00:00,624.0,20230100,591.5,20221100,624.0,20230100
2022-08-24 23:00:00,612.5,20230100,580.0,20221100,612.5,20230100
2022-08-25 23:00:00,612.5,20230100,580.0,20221100,612.5,20230100
2022-08-26 23:00:00,612.5,20230100,580.0,20221100,612.5,20230100
2022-08-29 23:00:00,615.0,20230100,582.5,20221100,615.0,20230100
2022-08-30 23:00:00,615.0,20230100,582.5,20221100,615.0,20230100
2022-08-31 23:00:00,615.0,20230100,582.5,20221100,615.0,20230100
2022-09-01 23:00:00,600.5,20230100,568.0,20221100,600.5,20230100
2022-09-02 23:00:00,600.5,20230100,568.0,20221100,600.5,20230100
2022-09-06 23:00:00,597.5,20230100,565.0,20221100,597.5,20230100
2022-09-07 23:00:00,610.0,20230100,577.5,20221100,610.0,20230100
2022-09-08 23:00:00,622.5,20230100,590.0,20221100,622.5,20230100
2022-09-09 23:00:00,622.5,20230100,590.0,20221100,622.5,20230100
2022-09-12 23:00:00,681.5,20230100,649.0,20221100,681.5,20230100
2022-09-13 23:00:00,669.0,20230100,639.0,20221100,669.0,20230100
2022-09-14 23:00:00,635.5,20230100,622.5,20221100,635.5,20230100
2022-09-15 23:00:00,600.5,20230100,587.5,20221100,600.5,20230100
2022-09-16 23:00:00,590.0,20230100,577.0,20221100,590.0,20230100
2022-09-19 23:00:00,580.5,20230100,572.5,20221100,580.5,20230100
2022-09-20 23:00:00,618.0,20230100,610.0,20221100,618.0,20230100
2022-09-21 23:00:00,610.0,20230100,602.0,20221100,610.0,20230100
2022-09-22 23:00:00,580.0,20230100,560.5,20221100,580.0,20230100
2022-09-23 23:00:00,564.0,20230100,543.0,20221100,564.0,20230100
2022-09-26 23:00:00,545.5,20230100,516.5,20221100,545.5,20230100
2022-09-27 23:00:00,558.5,20230100,538.0,20221100,558.5,20230100
2022-09-28 23:00:00,560.0,20230300,545.5,20230100,560.0,20230300
2022-09-29 16:00:00,555.0,20230300,,20230100,555.0,20230300
2022-09-29 18:00:00,550.0,20230300,,20230100,550.0,20230300
2022-09-29 23:00:00,550.0,20230300,545.5,20230100,550.0,20230300
2022-09-30 20:00:00,,20230300,585.0,20230100,,20230300
2022-09-30 23:00:00,584.5,20230300,580.0,20230100,584.5,20230300
2022-10-03 20:00:00,,20230300,553.0,20230100,,20230300
